Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Ryan McKenna,BAL,21,73,64,15,3,0,2,9,7,8,22,1,1,0,,0.227,0.316,0.385,0.701,0.307,92,,0.1,,999,,4.31,1.22,1.69,19928
Harold Ramirez,TBR,42,168,157,43,9,1,4,18,20,8,30,2,1,0,,0.273,0.315,0.418,0.732,0.315,98,,0.1,,584.7,,4.4,1.65,1.52,14387
TJ Friedl,,35,129,114,28,5,1,3,15,12,10,22,3,2,1,,0.246,0.317,0.392,0.709,0.307,86,,0.1,,600.7,,5.3,-0.02,1.57,19522
Yadiel Hernandez,WSN,90,325,292,74,12,1,11,38,39,27,76,1,3,1,,0.255,0.316,0.417,0.733,0.314,94,,0.1,,590.4,,5.89,0.62,0.82,19334
Brian Goodwin,,44,166,148,34,8,1,5,19,19,16,45,1,2,1,,0.231,0.307,0.393,0.7,0.304,90,,0.1,,600.6,,4.41,-1.12,1.3,12858
Eli White,TEX,39,151,135,29,6,1,4,17,13,12,44,2,3,1,,0.215,0.289,0.348,0.637,0.28,77,,0.1,,600,,3.06,1.52,1.4,19346
Aaron Altherr,,19,69,61,14,3,0,2,8,7,6,20,1,1,0,,0.224,0.307,0.392,0.699,0.304,90,,0.1,,999,,0.26,-0.53,1.68,11270
Tyler Nevin,BAL,23,83,75,17,4,0,3,9,9,7,19,1,0,0,,0.231,0.299,0.386,0.686,0.299,86,,0.1,,999,,3.36,2.99,1.65,17893
Luke Raley,TBR,16,55,50,11,2,0,2,6,7,3,17,2,0,0,,0.223,0.296,0.397,0.693,0.301,88,,0.1,,999,,4.53,2.05,1.73,19354
Taylor Trammell,,19,72,64,13,2,0,2,9,7,7,24,1,1,0,,0.207,0.294,0.342,0.636,0.282,81,,0,,600.9,,6.42,2.34,1.66,19960
Billy McKinney,,26,94,83,18,4,1,3,10,9,9,23,1,1,0,,0.212,0.295,0.388,0.683,0.296,90,,0,,599.2,,3.3,1.41,1.56,15654
Charlie Culberson,,43,141,130,31,6,1,3,15,14,8,37,1,3,1,,0.237,0.286,0.368,0.654,0.284,79,,0,,597.2,,1.7,-0.46,1.52,3298
Lewis Brinson,,25,94,87,20,4,0,3,10,10,5,25,1,1,0,,0.225,0.275,0.371,0.646,0.28,78,,0,,600.9,,3.26,1.87,1.58,14352
